kingdom,phylum,class,order,family,genus,scientific_name
Animalia,Chordata,Mammalia,Carnivora,Canidae,Nyctereutes,Nyctereutes procyonoides
Animalia,Chordata,Reptilia,Testudines,Testudinidae,Astrochelys,Astrochelys radiata
Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus
Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus rattus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,Haemorhous mexicanus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes
Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Brachypelma,Brachypelma smithi
Animalia,Chordata,Mammalia,Carnivora,Ailuridae,Ailurus,Ailurus fulgens
Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamiasciurus,Tamiasciurus hudsonicus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus rufus
Animalia,Chordata,Mammalia,Primates,Callitrichidae,Saguinus,Saguinus midas
Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,Agelaius phoeniceus
Animalia,Arthropoda,Arachnida,aranae,Theridiidae,Latrodectus,Latrodectus hasselti
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rangifer,Rangifer Tarandus
Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer productus
Animalia,Chordata,Mammalia,Hyracoidea,Procaviidae,Procavia,Procavia capensis
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysocome
Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus,Capreolus capreolus
Animalia,Chordata,Aves,Passeriformes,Carinalidae,Pheucticus,Pheucticus ludovicianus
Animalia,Chordata,Aves,Ciconiiformes,Threskiornithidae,Ajaja,Ajaja ajaja
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes schlegeli
Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,Archilochus colubris
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus
Animalia,Chordata,Reptilia,Testudines,Testudinidae,Agrionemys,Agrionemys horsfieldii
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Felidae,Smilodon,Smilodon populator
Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Martes,Martes zibellina
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Saiga,Saiga tatarica
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Lamna,Lamna ditropis
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,Lacerta agilis
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Pseudoryx,Pseudoryx nghetinhensis
Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Uroplatus,Uroplatus phantasticus
Animalia,Chordata,Mammalia,artiodactyla,Bovidae,Capra,Capra hircus
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,Ara macao
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Artiodactlya,Bovidae,Oryx,Oryx Dammah
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Amphibia,Anura,Telmatobiidae,Telmatobius,Telmatobius culeus
Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Phycodurus,Phycodurus eques
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus Savigny,Haliaeetus
Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Enhydra,Enhydra Lutris
Animalia,Mollusca,Gastropoda,Nudibranchia,Opistobranches,Nudibranch,Nudibranchia
Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,Hippocampus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,Balaenoptera borealis
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,Poicephalus senegalus
Animalia,Chordata,Mammalia,Carnivora,Felidae,Leptailurus,Leptailurus serval
Animalia,Chordata,Reptilia,Reptilia Order:	Squamata,Colubridae,Contia,Contia tenuis
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus
Animalia,Chordata,Aves,Pelecaniformes,Balaenicipitidae,Balaeniceps,Balaeniceps rex
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus
Animalia,Chordata,Actinopterygii,Perciformes,Osphronemidae,Betta,Betta splendens
Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Cetartiodactyla,Bovidae,Capra,Capra sibirica
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera Tigris Altaica
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Katsuwonus,Katsuwonus pelamis
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Pilosa,Bradypodidae,Bradypus,Choloepus Hoffmani
Animalia,Chordata,Reptilia,Squamata,Anguidae,Anguis,Anguis fragilis
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Reptilia,Testudines,Chelydridae,Chelydra,Chelydridae
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris
Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera uncia
Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus
Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus americanus
Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,Bubo scandiacus
Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus
Animalia,Chordata,Aves,Passeriformes,Passerelidae,Melospiza,Melospiza melodia
Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera Tigris Amoyensis
Animalia,Chordata,Amphibia,Mesobatrachia,Pelobatidae,Pelobates,Mesobatrachia
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Artiodactyla,Calvo,Capra,Capra aegagrus hircus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Ursidae,Tremarctos,Tremarctos Ornatus
Animalia,Chordata,Mammalia,Cetacea,Physeteridae,Physeter,Physeter macrocephalus
Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,Simia Paniscus
Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Carcharhinus,Carcharhinus brevipinna
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,Squalus acanthias
Animalia,Chordata,Reptilia,Testudines,Geoemydidae,Heosemys,Heosemys spinosa
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cyanopsitta,Cyanopsitta spixii
Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus,Lepisosteus oculatus
Animalia,Arthropoda,Insecta,Hemiptera,Fulgoridae,Lycorma,Lycorma delicatula
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Antidorcas,Antidorcas marsupialis
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Primates,Cebidae,Saimiri,Saimiri
Animalia,Chordata,Actinopterygii,Beryciformes,Holocentridae,Holocentrus,Holocentrus adscensionis
Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas Maximus Maximus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Condylura,Condylura cristata
Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela Erminea
Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Hyaena,Hyaena hyaena
Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,Litoria nasuta
Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Petaurus,Petaurus breviceps
Animalia,Chordata,Reptilia,Testudines,Testudinidae,Centrochelys,Centrochelys sulcata
Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas Maximus Sumatranus
Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,Pongo abelii
Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Dicerorhinus,Dicerorhinus Sumatrensis
Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera Tigris Sumatrae
Animalia,Chordata,Mammalia,Carnivora,Ursidae,Helarctos,Helarctos malayanus
Animalia,Chordata,Actinopterygii,Siluriformes,Pangasiidae,Pangasianodon,Pangasianodon hypophthalmus
Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus atratus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,Mesocricetus auratus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Budorcas,Budorcas taxicolor
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,Pongo tapanuliensis
Animalia,Arthropoda,Insecta,Hymenoptera,Pompilidae,Pepsis,Pepsis albocincta
Animalia,Chordata,Mammalia,Primates,Tarsiidae,Tarsius,Tarsius
Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sarcophilus,Sarcophilus harrisii
Animalia,Chordata,Mammalia,Dasyuromorphia,Thylacinidae,Thylacinus,Thylacinus cynocephalus
Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,Strix aluco
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,Mesocricetus auratus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Paracheirodon,Paracheirodon Axelrodi
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Reptilia,Squamata,Agamidae,Moloch,Moloch horridus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes ferrilata
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus
Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera Tigris
Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cicindela,Cicindelinae
Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma tigrinum
Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Galeocerdo,Galeocerdo Cuvier
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,Tachycineta bicolor
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Reptilia,Sphenodontia,Sphenodontidae,Sphenodon,Sphenodon Punctatus
Animalia,Chordata,Aves,Galliformes,Phasianidae,Meleagris,Meleagris
Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus
Animalia,Chordata,Mammalia,Primates,Pitheciidae,Cacajao,Cacajao
Animalia,Chordata,Aves,Passeriformes,Cettiidae,Cettia,Cettia diphone
Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Mollusca,Cephalopoda,Vampyromorphida,Vampyroteuthidae,Vampyroteuthis,Vampyroteuthis infernalis
Animalia,Chordata,Mammalia,Artiodactyla,Phocoenidae,Phocoena,Phocoena sinus
Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Chlorocebus,Chlorocebus pygerythrus
Animalia,Chordata,Reptilia,Squamata,Sphaerodactylidae,Sphaerodactylus,Sphaerodactylus parthenopion
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Cathartes,Cathartes aura
Animalia,Chordata,Actinopterygii,Siluriformes,Clariidae,Clarias,Clarias batrachus
Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Macropus,Macropus
Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Sander,Sander vitreus
Animalia,Chordata,Mammalia,Carnivora,Odobenidae,Odobenus,Odobenus rosmarus
Animalia,Chordata,Aves,Procellariiforms,Diomedeidae,Diomedea,Diomedea exulans
Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Phacochoerus,Phacochoerus africanus
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,Bubalus bubalis
Animalia,Chordata,Reptilia,Squamata,Agamidae,Physignathus,Physignathus
Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Arvicola,Arvicola amphibius
Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela nivalis
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus
Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla Gorilla
Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla gorilla
Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,Rhincodon,Rhincodon Typus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris rapae
Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,Ceratotherium simum
Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera tigris tigris
Animalia,Chordata,Mammalia,Primates,Cebidae,Cebus,Cebus Capucinus
Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus virginianus
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus albicilla
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,Grus americana
Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Connochaetes,Connochaetes Taurinus
Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus trochilus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarrhichthys,Anarrhichthys ocellatus
Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Gulo,Gulo gulo
Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,Vombatus Ursinus
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bison,Bison bison athabascae
Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates sylvaticus
Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,Armadillidium vulgare
Animalia,Arthropoda,Arachnida,Araneae,Dysderidae,Dysdera,Dysdera crocata
Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Mammuthus,Mammuthus Primigenius
Animalia,Chordata,Mammalia,Primates,Atelidae,Lagothrix,Lagothrix Lagotricha
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus Baxteri
Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Pristella,Pristella maxillaris
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos grunniens
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes
Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,Thunnus albacares
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus familiaris
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,"Equus zebra, Equus quagga, Equus grevyi"
Animalia,Chordata,Aves,Passeriformes,Estrildidae,Taeniopygia,Taeniopygia guttata
Animalia,Mollusca,Bivalvia,Myida,Dreissenidae,Dreissena,Dreissena polymorpha
Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Hypancistrus,Hypancistrus zebra
Animalia,Chordata,Chondrichthyes,Orectolobiformes,Stegostomatidae,Stegostoma,Stegostoma Fasciatum
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus indicus
Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus zebra x Equus asinus
Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus zebra x Equus caballus
Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus
